step,beta,expected_fidelity
1,0.01,0.99015623
2,0.017368421,0.98290294
3,0.024736842,0.9756497
4,0.032105263,0.96839637
5,0.039473683,0.96114314
6,0.046842106,0.9538898
7,0.05421053,0.9466365
8,0.061578948,0.93938327
9,0.06894737,0.9321299
10,0.07631579,0.9248767
11,0.08368421,0.91762334
12,0.09105264,0.91037005
13,0.09842106,0.90311676
14,0.10578948,0.8958635
15,0.1131579,0.88861024
16,0.12052632,0.8813569
17,0.12789474,0.8741036
18,0.13526316,0.8668503
19,0.14263159,0.859597
20,0.15,0.8523438
