model,noise_steps,depth,fidelity_mean,fidelity_std,mmd_mean,mmd_std,wasserstein_mean,wasserstein_std,runtime_sec_mean,trainable_parameters_mean,estimated_two_qubit_gate_count_mean,gpu_memory_mb_max
msquddpm,10,2,0.6966613531112671,0.020408119140317732,0.04332273701826731,0.003984359643614887,0.3227207443768549,0.016239400634250438,52.17390927734474,801800.0,10.0,52.60400390625
msquddpm,10,4,0.9066112041473389,0.020950054100064865,0.005369847019513448,0.000945411163606684,0.11176212380900796,0.022861736413383498,97.04958915058523,804368.0,20.0,52.64306640625
msquddpm,20,2,0.6935583154360453,0.018626839401147746,0.04450721045335134,0.0035501853328666066,0.3262568300959953,0.017637247670530053,52.15730578576525,802360.0,10.0,52.61181640625
msquddpm,20,4,0.9078394174575806,0.018850965065794506,0.004789133866628011,0.0010281874297853883,0.11203686554695214,0.020743866606730978,96.31738660267244,805168.0,20.0,52.65478515625
quddpm_baseline,10,2,0.22468415896097818,0.01688254082312746,0.27261290450890857,0.10113203006840747,0.6572907018805622,0.046759756317495654,66.72891904041171,801800.0,10.0,46.623046875
quddpm_baseline,10,4,0.20091178019841513,0.020462343408662296,0.5808343291282654,0.05108378658659874,0.7397884693255142,0.028709784867457552,124.94077868790676,804368.0,20.0,48.3076171875
quddpm_baseline,20,2,0.21134649713834128,0.01591091334362689,0.2721290389696757,0.06893026999004985,0.6636780892027098,0.027886012831757477,66.3334678489094,802360.0,10.0,46.630859375
quddpm_baseline,20,4,0.18350772559642792,0.04549791141912341,0.6951282421747843,0.10105330062333466,0.806357318529694,0.053056707891702096,125.07478537596762,805168.0,20.0,48.3193359375
t_msquddpm,10,2,0.6899207830429077,0.02317942326130692,0.04510015745957693,0.004334625887277796,0.32702183711609156,0.017555564478893514,52.02539817088594,801264.0,10.0,52.59619140625
t_msquddpm,10,4,0.9037108023961385,0.007875332776846015,0.006317560871442159,0.0008523700266221579,0.1170499215089234,0.005833751070690238,97.01740334990124,803616.0,20.0,52.63134765625
t_msquddpm,20,2,0.6891425450642904,0.023099466866463147,0.0427330881357193,0.0028434607447570593,0.3279852604583008,0.015496581551834716,51.09764545224607,801264.0,10.0,52.59619140625
t_msquddpm,20,4,0.887980043888092,0.05995341352836209,0.008770947655042013,0.006754922976830662,0.13121127585898923,0.05542426583893773,96.42186940492441,803616.0,20.0,52.63134765625
